pa_name,clip,PA,N,S,R,F,dataset
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_129,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.41,32.50,1.57,0.31,1.77,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_130,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.42,37.61,1.58,0.37,0.54,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_131,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.46,32.74,1.23,0.26,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_132,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.67,33.62,1.72,0.08,0.58,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_133,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.13,35.64,1.60,0.13,0.48,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_134,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.95,30.89,1.23,0.26,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_135,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,55.70,34.43,1.57,0.19,2.61,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_136,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.93,34.70,1.54,0.18,0.62,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_137,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.04,34.36,1.40,0.56,0.14,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_138,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.37,32.19,1.10,0.43,0.15,snoop
